id	INDEL
PF3D7_0103600	0.9
PF3D7_0104100_1	0.9
PSOP24	0.9
PF3D7_0207300	0.9
PF3D7_0209000	0.9
PF3D7_0211700	0.88
PF3D7_0212800	0.9
PF3D7_0217200	0.9
PF3D7_0220800	0.9
PfSERA2_1	0.9
PfSERA3	0.9
PF3D7_0311900	0.9
B9	0.9
PfCSP_1	0.9
ASP	0.9
Pfs16	0.9
PF3D7_0411900_1	0.9
PF3D7_0411900_2	0.9
PfDHFR_1	0.9
PfDHFR_2	0.9
PF3D7_0419900_2	0.9
PF3D7_0422500	0.9
PF3D7_0424400	0.9
PF3D7_0401900	0.9
PF3D7_0501800	0.9
PF3D7_0503200	0.9
PF3D7_0504400	0.9
P38	0.9
PF3D7_0508900	0.9
PF3D7_0519300	0.9
PF3D7_0525100	0.9
PfMDR1_1	0.9
PfMDR1_2	0.9
PfMDR1_3	0.9
PfMDR1_4	0.9
PF3D7_0612900	0.9
PF3D7_0615900	0.9
MSP10	0.9
CS	0.9
PF3D7_0630600	0.9
RAMA	0.9
PF3D7_0710400	0.9
PF3D7_0711500	0.9
PF3D7_0716300	0.9
PF3D7_0724700	0.9
PF3D7_0728200	0.9
PF3D7_0729700	0.9
PF3D7_0802000	0.9
PF3D7_0806200	0.9
PF3D7_0806300	0.9
PF3D7_0807800	0.9
PF3D7_0809400	0.9
PfDHPS_3	0.9
PF3D7_0827100	0.9
GAMA	0.9
PF3D7_0829800	0.9
PF3D7_0830800_1	0.9
PF3D7_0830800_2	0.9
PfDHPS_2	0.9
PfDHPS_1	0.9
RhopH3	0.9
PF3D7_0905600	0.9
PF3D7_0910000	0.9
PF3D7_0935400	0.9
PF3D7_1007900	0.9
PF3D7_1008700	0.9
PF10_0119	0.9
PF3D7_1018600	0.9
PF3D7_1022000	0.9
PF3D7_1034900_1	0.9
PF3D7_1035700	0.9
MSP11.H103.MSP3.7	0.9
PF3D7_1035100	0.9
PF3D7_1110200	0.9
PF3D7_1114900	0.9
PF3D7_1125700	0.9
PF3D7_1126100_1	0.9
PF3D7_1126100_2	0.9
PF3D7_1129100	0.9
PF11_0373	0.9
PF3D7_1145400	0.9
PF3D7_1148700_1	0.9
PfAMA_1	0.9
PF3D7_1211900	0.9
GRP94	0.9
PF3D7_1224000	0.9
PF3D7_1233600	0.9
PF3D7_1239800_1	0.9
PF3D7_1246500	0.9
PF3D7_1250100	0.9
PF3D7_1250400	0.9
PF3D7_1252100	0.9
PF3D7_1302700	0.9
PF3D7_1302900	0.9
MAL13P1.50	0.9
PF3D7_1320700	0.9
PF13_0125	0.9
PF3D7_1322200	0.9
PF3D7_1329100	0.9
PF3D7_1332900	0.9
PF3D7_1333200	0.9
MSRP4	0.9
MSRP3	0.9
SPECT	0.9
PfKelch13C580Y	0.9
PF3D7_1346400	0.9
PF3D7_1352900	0.9
PF3D7_1353100	0.9
PF3D7_1354200	0.9
PfTRAP_1	0.9
PF3D7_1340400	0.9
PF3D7_1407800	0.9
PF3D7_1407900	0.9
PF3D7_1408000	0.9
PF3D7_1408100_1	0.9
PF3D7_1409700	0.9
PF3D7_1410300	0.9
PF3D7_1418100	0.9
Pf113	0.9
PF3D7_1429500	0.9
PF3D7_1429800	0.9
PF3D7_1447900	0.9
PF3D7_1448500	0.9
GEST	0.9
PF3D7_1455300	0.9
PF3D7_1464700	0.9
PF3D7_1465800	0.9
PF3D7_1466200	0.9
PF3D7_1466800	0.9
PF3D7_1469600	0.9
PF3D7_1472300	0.9
PF3D7_1473700	0.9
PF3D7_1475900	0.9
PvDHFR	0.9
